# M_main, z_main, v_vir
8.432645483991722656e+12 3.077118062563535816e-01 2.830812255776275492e+02
8.428126968529195312e+12 3.095792699684677407e-01 2.831899974806624982e+02
8.423608515796085938e+12 3.114463288075584035e-01 2.832986284708238145e+02
8.419090125888324219e+12 3.133129892126701455e-01 2.834071189713232002e+02
8.414571798897586914e+12 3.151792575862418788e-01 2.835154694026091420e+02
8.410053534926318359e+12 3.170451402886337866e-01 2.836236801820624009e+02
8.405535334064124023e+12 3.189106436482486706e-01 2.837317517245865588e+02
8.401017196415670898e+12 3.207757739501421179e-01 2.838396844419445983e+02
8.396499122077076172e+12 3.226405374465691200e-01 2.839474787433857728e+02
8.391981111144496094e+12 3.245049403532279109e-01 2.840551350354151054e+02
8.387463163716272461e+12 3.263689888492875557e-01 2.841626537218136832e+02
8.382945279886491211e+12 3.282326890802797492e-01 2.842700352038058327e+02
8.378427459753569336e+12 3.300960471547335628e-01 2.843772798798634653e+02
8.373909703418105469e+12 3.319590691455091003e-01 2.844843881457895236e+02
8.369392010972157227e+12 3.338217610946250802e-01 2.845913603950003221e+02
8.364874382520689453e+12 3.356841290048975801e-01 2.846981970180527242e+02
8.360356818157981445e+12 3.375461788496315618e-01 2.848048984031937039e+02
8.355839317984786133e+12 3.394079165663793640e-01 2.849114649360191720e+02
8.351321882101892578e+12 3.412693480593965711e-01 2.850178969996040905e+02
8.346804510599410156e+12 3.431304792047641383e-01 2.851241949748086881e+02
8.342287203586780273e+12 3.449913158382945100e-01 2.852303592395894043e+02
8.337769961156334961e+12 3.468518637708502550e-01 2.853363901698770633e+02
8.333252783406875000e+12 3.487121287789372026e-01 2.854422881390423186e+02
8.328735670443669922e+12 3.505721166047344739e-01 2.855480535178939476e+02
8.324218622354884766e+12 3.524318329667641136e-01 2.856536866753064601e+02
7.713874769425240234e+12 3.542912835446052067e-01 2.786474975548658790e+02
7.191717020766498047e+12 3.562977878245103813e-01 2.723742942248036343e+02
7.187219919339411133e+12 3.584489644941827313e-01 2.724906086761175175e+02
7.182722913016711914e+12 3.605997891691845036e-01 2.726067556196462647e+02
7.155292046956261719e+12 3.627502704606999084e-01 2.724319820481618990e+02
7.150795720014838867e+12 3.649073179856745508e-01 2.725480496425689125e+02
7.146299489334693359e+12 3.670640366722370262e-01 2.726639504046791558e+02
7.141803355073600586e+12 3.692204350485072117e-01 2.727796848575196691e+02
7.137307317364333984e+12 3.713765216029208394e-01 2.728952535209845109e+02
7.132811376360640625e+12 3.735323047625228599e-01 2.730106569106698089e+02
7.128315532197539062e+12 3.756877929130527094e-01 2.731258955389689049e+02
7.123819785028930664e+12 3.778429943808400138e-01 2.732409699140926591e+02
7.119324134998346680e+12 3.799979174480885291e-01 2.733558805409118690e+02
7.114828582251485352e+12 3.821525703469179081e-01 2.734706279206313297e+02
7.110333126927857422e+12 3.843069612639055110e-01 2.735852125510375004e+02
7.105837769187935547e+12 3.864610983280573620e-01 2.736996349258769783e+02
7.101342509167212891e+12 3.886149896327214526e-01 2.738138955360104774e+02
7.096847347020050781e+12 3.907686432156857737e-01 2.739279948683772545e+02
7.092352282886277344e+12 3.929220670753861833e-01 2.740419334068521948e+02
7.087857316912060547e+12 3.950752691612888223e-01 2.741557116317383702e+02
7.083362449247824219e+12 3.972282573759344237e-01 2.742693300198961310e+02
7.078867680050331055e+12 3.993810395738661145e-01 2.743827890446778497e+02
7.074373009455553711e+12 4.015336235751677529e-01 2.744960891766482405e+02
7.069878437614152344e+12 4.036860171492425153e-01 2.746092308827423949e+02
7.065383964678953125e+12 4.058382280213000959e-01 2.747222146266145160e+02
7.060889590792431641e+12 4.079902638784401181e-01 2.748350408689519782e+02
7.056395316105487305e+12 4.101421323614607428e-01 2.749477100670600294e+02
7.051901140764929688e+12 4.122938410710215718e-01 2.750602226751828425e+02
7.047407064919735352e+12 4.144453975654807110e-01 2.751725791444055176e+02
7.042913088723130859e+12 4.165968093600171396e-01 2.752847799226056509e+02
7.038419212326338867e+12 4.187480839302721303e-01 2.753968254546539924e+02
7.033925435874407227e+12 4.208992287144595612e-01 2.755087161825208568e+02
7.029431759520807617e+12 4.230502511072862237e-01 2.756204525449778089e+02
7.024938183410753906e+12 4.252011584679078471e-01 2.757320349780040374e+02
7.020444707702046875e+12 4.273519581107635412e-01 2.758434639143267191e+02
7.015951332544233398e+12 4.295026573156057181e-01 2.759547397839370433e+02
7.011458058084859375e+12 4.316532633250032003e-01 2.760658630139670890e+02
4.391036703029668457e+12 4.338037833411070854e-01 2.363376731962979136e+02
4.386640323369133301e+12 4.372111381142381736e-01 2.364890457232947654e+02
4.382244198718329102e+12 4.406181650072266143e-01 2.366400884305040222e+02
4.377848329524055664e+12 4.440248920649048081e-01 2.367908027638118256e+02
4.373452716222039551e+12 4.474313471072418613e-01 2.369411901542665930e+02
4.369057359248461426e+12 4.508375577245022914e-01 2.370912520179104774e+02
4.364662259039958008e+12 4.542435512808639109e-01 2.372409897559783474e+02
4.360267416041298340e+12 4.576493549118362258e-01 2.373904047548182916e+02
4.355872830693869629e+12 4.610549955369135922e-01 2.375394983864925109e+02
4.351478503443353516e+12 4.644604998573221288e-01 2.376882720087219525e+02
4.347084434728221191e+12 4.678658943681016091e-01 2.378367269654471556e+02
4.342690624991241699e+12 4.712712053530058731e-01 2.379848645866536003e+02
4.338297074687149902e+12 4.746764588813685570e-01 2.381326861882638468e+02
4.333903784255808105e+12 4.780816808323537503e-01 2.382801930732343294e+02
4.329510754149047363e+12 4.814868968776554459e-01 2.384273865308480822e+02
4.325117984811498535e+12 4.848921324991764537e-01 2.385742678375106038e+02
4.320725476692096191e+12 4.882974129831244570e-01 2.387208382565290776e+02
4.316333230244076660e+12 4.917027634231823097e-01 2.388670990382900925e+02
4.311941245921146973e+12 4.951082087264069287e-01 2.390130514205487202e+02
4.307549524169829102e+12 4.985137736222697291e-01 2.391586966288556653e+02
4.303158065440952148e+12 5.019194826563458944e-01 2.393040358763145150e+02
4.298766870197306152e+12 5.053253601873435308e-01 2.394490703634958209e+02
4.294375938890674805e+12 5.087314304073675686e-01 2.395938012793287157e+02
4.277765378563121582e+12 5.121377173364036750e-01 2.395103842924123398e+02
4.273375716122372070e+12 5.155536668446962789e-01 2.396547788206069072e+02
4.268986320263222656e+12 5.189698811845552262e-01 2.397988718709499665e+02
4.264597191456045898e+12 5.223863840573790274e-01 2.399426645939431353e+02
4.260208330167879883e+12 5.258031990034061076e-01 2.400861581288070283e+02
4.255819736862433105e+12 5.292203494047723611e-01 2.402293536036538057e+02
4.251431411996270020e+12 5.326378584899554847e-01 2.403722521356796733e+02
4.247043356034092773e+12 5.360557493255611039e-01 2.405148548308832233e+02
4.242655569452558594e+12 5.394740448145544098e-01 2.406571627839970233e+02
4.238268052717364746e+12 5.428927677172501465e-01 2.407991770794141928e+02
4.233880806298529785e+12 5.463119406411293122e-01 2.409408987907794142e+02
4.229493830658940918e+12 5.497315860524559783e-01 2.410823289815115515e+02
4.225107126281071777e+12 5.531517262575245120e-01 2.412234687040544543e+02
