# M_sub, z_sub
1.309195886974391937e+10 1.481528998263709429e+00
7.898571532376023438e+12 1.491114662467589058e+00
1.129022905895519043e+12 1.496215871187590141e+00
1.674153412471757507e+10 1.500287512275124246e+00
2.301691985792669296e+10 1.515220334024314441e+00
8.041456503937507629e+10 1.525231289170888571e+00
3.373968201032748032e+10 1.566685667307609497e+00
4.033963409198235321e+10 1.588967557401857134e+00
1.462506863740568237e+11 1.609741531096459788e+00
1.065328400701008415e+10 1.645941730566562011e+00
2.686757769276904785e+12 1.676328377155593463e+00
1.223608201109881592e+10 1.691796555045386841e+00
2.585290743390161133e+10 1.721178793663131756e+00
1.289227642169483757e+10 1.748620018188629555e+00
4.625313958774292755e+10 1.801993320983893643e+00
4.532610837483018494e+10 1.880619319334006390e+00
2.779282870937065506e+10 1.903743248564726320e+00
1.194185972171040154e+10 1.907418496793429119e+00
5.015620094851935577e+10 1.912334754035289519e+00
8.945219895594796143e+11 1.920997331678062414e+00
1.261826195674732208e+10 1.977203576445496713e+00
1.263572657842318153e+10 2.051738496217351937e+00
1.759243349401488876e+10 2.104984861020527287e+00
1.570637045395506668e+10 2.109350667612340580e+00
3.461255203249502563e+11 2.178780762999795506e+00
1.630219467546718750e+12 2.197483325119308439e+00
2.196170215117191315e+10 2.214815686646974147e+00
3.523020011662832642e+10 2.307403702680375090e+00
9.866232448681877136e+10 2.342546426052956043e+00
3.575117161813646698e+10 2.393679654432168569e+00
1.383203969078568459e+10 2.421921142225143431e+00
1.336678847959290504e+10 2.508521598589759982e+00
2.277178958010302246e+12 2.515299204794652077e+00
1.493849176542400551e+10 2.597515419374803791e+00
4.505618820887293243e+10 2.736076168585444890e+00
4.675344486961116028e+10 2.831896525726599556e+00
8.054765849802156982e+11 2.844752261188059350e+00
4.373512285870642853e+10 2.860872800116252002e+00
1.079089920910031700e+10 2.884968203659544539e+00
1.794815714637925720e+10 2.940375413250471137e+00
1.180576802523819351e+10 3.061635740146829932e+00
1.121636942729669800e+11 3.068148679480737329e+00
1.292039198995054245e+10 3.123849819871016731e+00
6.836694937575083008e+11 3.383195620206290055e+00
3.771754332698110199e+10 3.484655343049140264e+00
3.019156406985887451e+11 3.718659980307342128e+00
3.856968251215735626e+10 3.885769065991242943e+00
1.197512721905995483e+11 4.148909314388490088e+00
2.235658468350032043e+10 4.426095128034761572e+00
1.685998988633269501e+10 5.208767402855666084e+00
